N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
363	Lontra felina	I	EN	EN	Nativa		Lutra felina	(Molina, 1782)										
						chingungo, huallaque												
						Lobo pequeño de río,	Lontra incarum / L. enudris											
364	Lontra longicaudis	I	-	NT48	Nativa	nutria, mayopuma (aya,	L. mesopetes / L. annectens	(Olfers, 1818)										
						apur, Cuzco)	L. platensis / Lutra longicaudis											
						Lobo grande de río,	Mustela brasilinensis											
365	Pteronura brasiliensis	I	EN	EN	Nativa			(Gmelin, 1788)										
						nutria grande, shabaropa	Pteronura sambachii											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Lobo marino fino, Lobo												
366	Arctocephalus australis	II	EN	LC	Nativa	fino, Lobo de dos pelos,	Arctophoca australis	(Zimmermann, 1783)										
						cochapuma												
						Lobo fino de Juan												
367	Arctocephalus philippii	II	-	LC	Nativa		Arctophoca philippii	(Peters, 1866)										
						Fernández												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Elefante marino del sur,												
368	Mirounga leonina49	II	-	LC	Nativa			(Linnaeus, 1758)										
						elefante marino												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Oso andino, ukumari,												
369	Tremarctos ornatus	I	VU	VU	Nativa			(F. G. Cuvier, 1825)										
						ucucu, oso de anteojos												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
370	Eubalaena australis	I	-	LC	Nativa	Ballena franca austral	Balaena glacialis australis	(Desmoulins, 1822)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Ballena minke austral,												
371	Balaenoptera bonaerensis50	I	-	DD	Nativa	ballena minke antártica,		(Burmeister, 1867)										
						rorcual austral												
						Ballena de Sei, ballena												
372	Balaenoptera borealis	I	-	EN	Nativa			Lesson, 1828										
						boba												
373	Balaenoptera edeni	I	-	DD	Nativa	Ballena de Bryde	Balaenoptera brydei	Anderson, 1879										
						Ballena azul, rorcual												
374	Balaenoptera musculus	I	-	EN	Nativa		Sibbaldius musculus	(Linnaeus, 1758)										
						gigante												
						Ballena de aleta, rorcual												
375	Balaenoptera physalus	I	-	EN	Nativa			(Linnaeus, 1758)										
						de aleta, rorcual común												
376	Megaptera novaeangliae	I	-	LC	Nativa	Ballena jorobada, yubarta		(Borowski, 1781)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
377	Lama guanicoe	II	CR	LC	Nativa	Guanaco	Lama glama guanicoe	(P. L. S. Müller, 1776)										
378	Vicugna vicugna	II	NT	LC	Nativa	Vicuña	Lama vicugna	(Molina, 1782)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
379	Blastocerus dichotomus	I	VU	VU	Nativa	Ciervo de los pantanos		(Illiger, 1815)										
380	Hippocamelus antisensis	I	VU	VU	Nativa	Taruca, tarugo, taruka		(d'Orbigny, 1834)										
381	Pudu mephistophiles	II	VU	VU	Nativa	Sachacabra, pudu		(de Winton, 1896)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Delfín común de hocico												
382	Delphinus capensis52	II	-	DD	Nativa			Gray, 1828										
						largo												
						Delfín común de hocico												
383	Delphinus delphis53	II	-	LC	Nativa		Delphinus tropicalis	Linnaeus, 1758										
						corto												
384	Feresa attenuata	II	-	DD	Nativa	Orca enana, orca pigmea	Feresa occulta	Gray, 1874										
	Globicephala					Delfín piloto de aleta												
385		II	-	DD	Nativa		Globicephala sieboldii	Gray, 1846										
	macrorhynchus					corta												
						Delfín piloto de aleta	Globicephala melaena											
386	Globicephala melas	II	-	DD	Nativa			(Traill, 1809)										
						larga	Globicephala edwardii											
387	Grampus griseus	II	-	LC	Nativa	Delfín gris, delfìn de Risso		(G. Cuvier, 1812)										
388	Lagenodelphis hosei54	II	-	LC	Nativa	Delfín de Fraser		Fraser, 1956										
							Lagenorhynchus superciliosus											
389	Lagenorhynchus obscurus55	II	-	DD	Nativa	Delfín obscuro		(Gray, 1828)										
							Sagmatias obscurus											
						Delfín liso, delfín de												
390	Lissodelphis peronii	II	-	DD	Nativa	perón, tunina sinaleta,		(Lacépède, 1804)										
						delfìn liso austral												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Orca, espadante, orca	Orcinus nanus											
391	Orcinus orca	II	-	DD	Nativa			(Linnaeus, 1758)										
						verdadera, tonina	Orcinus glacialis											
						Delfín cabeza de melón,												
392	Peponocephala electra	II	-	LC	Nativa		Lagenorhynchus electra	(Gray, 1846)										
						Electra												
						Falsa orca común, orca												
393	Pseudorca crassidens	II	-	DD	Nativa			(Owen, 1846)										
						falsa												
394	Sotalia fluviatilis 56	I	DD	DD	Nativa	Bufeo gris, bufeo negro,	Sotalia brasiliensis	(Gervais & Deville,										
						tucuxi		1853)										
							Stenella malayana											
						Delfín con brida, delfín												
395	Stenella attenuata	II	-	LC	Nativa		Stenella dubia attenuata	(Gray, 1846)										
						manchado pantropical												
							Stenella graffmani											
						Delfín rayado, delfín												
396	Stenella coeruleoalba	II	-	LC	Nativa		Stenella styx	(Meyen, 1833)										
						listado												
						Delfín hilandero, delfín	Stenella microps											
397	Stenella longirostris	II	-	DD	Nativa			(Gray, 1828)										
						tornillo	Stenella roseiventris											
								(G. Cuvier in Lesson,										
398	Steno bredanensis	II	-	LC	Nativa	Delfín de dientes rugosos												
								1828)										
						bufeo común, delfín pico	Tursiops nuuanu											
399	Tursiops truncatus57	II	--	LC	Nativa	de botella, delfín nariz de	Tursiops nesarnack	(Montagu, 1821)										
						botella, delfín mular	Tursiops gillii											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
400	Inia geoffrensis 58	II	DD	DD	Nativa	Bufeo colorado, delfín	Inia boliviensis	(de Blainville, 1817)										
						rosado del Amazonas												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Marsopa espinosa,												
401	Phocoena spinipinnis	II	-	DD	Nativa			Burmeister, 1865										
						chancho marino												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Cachalote de cabeza												
402	Kogia breviceps	II	-	DD	Nativa	pequeña, cachalote		(Blainville, 1838)										
						pigmeo												
403	Kogia sima	II	-	DD	Nativa	Cachalote enano		(Owen, 1866)										
	Physeter catodon																	
404	Physeter macrocephalus 59	I	-	VU	Nativa	Cachalote		Linnaeus, 1758										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Dicotyles tajacu											
405	Pecari tajacu	II	-	LC	Nativa	Sajino, pecarí de collar	Tayassu tajacu	(Linnaeus, 1758)										
							Pecari maximus											
406	Tayassu pecari	II	NT	VU	Nativa	Huagana, pecarí labiado	Tayassu albirostris	(Link, 1795)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Ballena de pico de Gray,												
407	Mesoplodon grayi	II	-	DD	Nativa			Von Haast, 1876										
						zifio de Gray												
						ballena picuda, zifio												
								Reyes, Mead & Van										
408	Mesoplodon peruvianus	II	-	DD	Nativa	peruano, ballena de pico												
								Waerebeek, 1991										
						peruana, zifio menor												
						Ballena de pico de Cuvier,												
409	Ziphius cavirostris	II	-	LC	Nativa	ballena picuda de Cuvier,		G. Cuvier, 1823										
						Zifio de Cuvier												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Yungunturo, armadillo												
410	Priodontes maximus	I	VU	VU	Nativa	gigante, tatú, carachupa,	Priodontes giganteus	(Kerr, 1792)										
						kintéro												
411	Chaetophractus nationi Chaetophractus vellerosus 60	II 61	EN	LC	Nativa	Quirquincho andino, armadillo peludo andino	Euphractus nationi	(Thomas, 1894) (Gray, 1865)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
412	Tapirus pinchaque62	I	CR	EN	Nativa	Tapir de montaña, ante,	Tapirus roulinii	(Roulin, 1829)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						tapir andino, pinchaque,												
						gran bestia												
						Tapir amazónico, tapir del												
413	Tapirus terrestris	II	NT	VU	Nativa	llano amazónico,		(Linnaeus, 1758)										
						sachavaca, kemari.												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Perezoso de tres dedos,	Bradypus boliviensis											
414	Bradypus variegatus	II	-	LC	Nativa	pelejo, perezoso	Bradypus infuscatus	Schinz, 1825										
							Bradypus griseus											
N.°	Especie	Ap.	UICN	N/E	Nombre común		Sinónimos	Autor										
			nacional															
Hormiguero gigante, oso 415	Myrmecophaga tridactyla	II	VU VU	Nativa			Myrmecophaga jubata	Linnaeus, 1758										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							A. azarai / A.miriquouina											
						Mono nocturno de Azara,												
416	Aotus azarae	II	-	LC	Nativa		A. boliviensis / A. bidentatus	(Humboldt, 1811)										
						musmuqui, mono lechuza												
							A. infulatus / A. roberti											
						Mono nocturno peruano,												
						mono nocturno andino,	Aotus trivirgatus											
417	Aotus miconax	II	VU	VU	Endémica			Thomas, 1927										
						tuta, tutamono, tutacho,	Aotus trivirgatus miconax											
						musmuqui												
						Mono nocturno de Nancy												
418	Aotus nancymaae	II	-	VU	Nativa	Ma,musmuqui, mono	Aotus trivirgatus nancymaae	Hershkovitz, 1983										
						lechuza												
						Mono nocturno												
419	Aotus nigriceps	II	-	LC	Nativa	cabecinegro, musmuqui,	Aotus senex	Dollman, 1909										
						mono lechuza												
						Mono nocturno												
							A. gularis / A. microdon											
420	Aotus vociferans	II	-	LC	Nativa	vociferante, buri-buri,		(Spix, 1823)										
							A. oseryi / A.rufipes / A.spixi											
						musmuqui, mono lechuza												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Mono coto de Tumbes,	Alouatta aequatorialis											
421	Alouatta palliata	I	EN64	LC	Nativa	coto mono de Tumbes,	A. inclamax / A. mexicana	(Gray, 1849)										
						mono aullador, mono	A. inconsonans / A. matagalpae											
						coto negro	A. niger /  A. quichua											
							A. seniculus sara											
							A. auratus / A. bogotensis											
							A. caquetensis / A. aniger											
						Mono aullador rojo, mono												
422	Alouatta seniculus 65	II	VU	-	Nativa	aullador colorado, mono	A.caucensis  / A. chrysurus	(Linnaeus, 1766)										
							A. juara / A. rubicunda											
						coto, cotomono												
							A. arctoidea / A. ursina											
							A. amazónica / A. juruana											
							A.  puruensis / A. sara											
						Mono araña de vientre												
							A. bartlettii / A. braccatus											
						amarillo, maquisapa												
423	Ateles belzebuth	II	EN	EN	Nativa		A. brissonii /  A. chuva	É.Ge  o ffroy, 1806										
						cenizo, maquisapa de												
							A. fuliginosus A.variegatus											
						frente amarilla, manilargo												
						Maquisapa, mono araña	A. longimembris											
424	Ateles chamek	II	EN	EN	Nativa			(Humboldt, 1812)										
						negro, maquisapa negra,	A. peruvianus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						manilargo												
							Lagothrix barrigo / L. cana											
	Lagothrix lagothricha66						L. poeppigii / L. caparro											
425	L. lagothrix cana 67	II	EN	VU	Nativa	Mono choro común,	L. caroarensis / L. geoffroyi	(Humboldt, 1812)										
	L. lagothrix poeppigii 68					mono lanudo común	L. humboldtii / L. infumatus											
							Lagothrix cana tschudii											
						Mono choro cola amarilla,												
						choro coliamarilla, mono												
426	Lagothrix flavicauda 69	I	CR	CR	Endémica	barrigudo andino, choba,	Oreonax flavicauda	(Humboldt, 1812)										
						tupa, pacu runtu,	Lagothrix hendeei											
						quillecorote, maquisapa												
						chusca, ginebra, chú												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Pichico falso de Goeldi,												
427	Callimico goeldii	I	VU	VU	Nativa	pichico negro, supay	C. snethlageri	(Thomas, 1904)										
						pichico, maquisapita												
						Tití enano, leoncito,	Callithrix pygmaea											
428	Cebuella pygmaea	II	-	LC	Nativa	leoncillo, mono de	C. nigra / C. leoninus	( Spix, 1823)										
						bolsillo.	C. niveiventris											
						Pichico común, pichico,												
429	Saguinus fuscicollis 71	II	-	-	Nativa	pichico barba blanca,	Saguinus fuscicollis	(Spix, 1823)										
						pichico boca blanca,												
						pichico pardo												
430	Saguinus illigeri 72	II	-	-	Endémica	Pichico común	Hapale illigeri	(Pucheran, 1845)										
							Saguinus fuscicollis illigeri											
						Pichico emperador,												
431	Saguinus imperator	II	-	LC	Nativa	pichico bigotudo o pichico	Saguinus subgrisescens	(Goeldi, 1907)										
						cenizo												
						Pichico de barriga	Saguinus elegantulus											
						anaranjada, pichico de	S. erythrogaster / S.	(E. Geoffroy in										
432	Saguinus labiatus	II	EN	LC	Nativa													
						pecho anaranjado, pichico	griseovertexS. rufiventer / S.	Humboldt, 1812)										
						huapito	thomasi											
433	Saguinus lagonotus73	II	-	-	Nativa	Pichico común	Midas lagonotus	(Jimenez de la										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Saguinus fuscicollis lagonotus	Espada, 1870)										
						Pichico común, pichico	Midas leucogenys											
434	Saguinus leucogenys74	II	-	-	Endémica			(Gray, 1866)										
						andino	Saguinus fuscicollis leucogenys											
						Pichico de bigote o												
435	Saguinus mystax	II	-	LC	Nativa	bigotudo, pichico barba	Saguinus pluto	(Spix, 1823)										
						blanca o cervecero												
436	Saguinus nigricollis 75	II	-	-	Nativamic	Pichico común, pichico	Midas nigricollis	(Spix, 1823)										
						barba blanca	Saguinus nigricollis											
					a													
								(I. Geoffroy Saint-										
437	Saguinus nigrifrons76	II	-	-	Endémica	Pichico común	Hapale nigrifrons											
								Hilaire, 1850)										
						Pichico de manto dorado	Midas tripartitus											
438	Saguinus tripartitus 77	II	VU	-	Nativa	pichico barba blanca	Saguinus fuscicollis	(Milne Edwards,										
								1878)										
						pichico común	Saguinus fuscicollis tripartitus											
439	Saguinus weddelli78	II	-	-	Nativa	Pichico común	Hapale weddelli	(Deville, 1849)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Saguinus  fusicollis											
							melanoleucus											
							Saguinus  fusicollis weddelli											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Capuchino blanco												
440	Cebus aequatorialis79	II	-	CR	Nativa		C. albifrons aequatorialis	J. A. Allen, 1914										
						ecuatoriano												
						Machín blanco, mono												
441	Cebus cuscinus80	II	-	NT	Nativa	blanco, capuchino cabeza	Cebus albifrons ssp. cuscinus	Thomas, 1901										
						choque												
						Machín blanco, mono												
442	Cebus unicolor 81	II	-	-	Nativa	blanco, capuchino frente	Cebus albifrons	Spix, 1823										
							Cebus albifrons unicolor											
						blanca												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Machín blanco, mono												
							Cebus albifrons											
443	Cebus yuracus82	II	-	-	Nativa	blanco, capuchino frente		Hershkovitz, 1949										
							Cebus albifrons aequatorialis											
						blanca del Marañón												
							Cebus apella / C. avus											
						Machín, machín	C. barbatus / C. buffonii / C.											
						capuchino, machín negro,	fulvusC. griseus /											
	Sapajus apella					mono negro, capuchino	C. trepida	Linnaeus, 1758										
444	Sapajus macrocephalus83	II	-	LC	Nativa	cabeza grande, mono	C. fatuellus / C.tocantinus	(Spix, 1823)										
						martín, mono sortero	C. margaritae / C. peruanus											
						mono choclero	C. magnus / C. maranonis											
							C.  macrocephalus											
						Mono fraile boliviano,	S. entomophagus											
								(I. Geoffroy &										
445	Saimiri boliviensis	II	-	LC	Nativa	frailecillo, fraile, mono	S. jaburuensis / S. nigriceps											
								Blainville, 1834)										
						ardilla, huasa	S. pluvialis / S. peruviensis											
							Saimiri apedia / S. albigena											
							S. caquetensis / S.											
						Mono ardilla, fraile,	cassiquiarensis  S. codajazensis /											
446	Saimiri sciureus	II	-	LC	Nativa			(Linnaeus, 1758)										
						frailecito, huasa	S. collinsi											
							S. leucopsis / S. lunulatus											
							S. macrodon / S.morta											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							S. nigriceps / S. nigrivittata											
							S. saimiri											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Huapo colorado, huapo												
							Cacajao alba / C. novaesi											
447	Cacajao calvus	I	VU	VU	Nativa	rojo		(I. Geoffroy, 1847)										
							C. rubicundus / C. ucayalii											
						Mono inglés, puca huapo												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Tocón de collar, tocón de												
448	Cheracebus lucifer 84	II	VU	LC	Nativa	patas amarillas, tocón	Callicebus lucifer	Thomas, 1914										
							Callicebus torquatus											
						negro												
							Callicebus cupreus / C. acreanus											
							C. caligatus / C. discolor / C.											
449	Plecturocebus cupreus85	II	-	LC	Nativa	Tocón cobrizo, tocón	dubiusC. egeria	(Spix, 1823)										
						rojo, tocón colorado												
							/ C. ornatus											
							C. stephennashi / C. toppinii											
							Callicebus discolor											
450	Plecturocebus discolor 86	II	-	LC	Nativa	Toconcillo rojo, tocón	C. leucometopa / C. napoleon	(I. Geoffroy & Deville,										
						rojo, tocón colorado	C. paenulatus / C. rutteri	1848)										
							C. subrufus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Mono tocón de San												
451	Plecturocebus oenanthe87	II	CR	CR	Endémica	Martín, tocón del río	Callicebus oenanthe	(Thomas, 1924)										
						Mayo88												
452	Plecturocebus toppini89	II	-	-	Nativa	Mono tocón	Callicebus toppini	(Thomas, 1914)										
	Plecturocebus					Mono tocón de		Vermeer & Tello-										
453	urubambensis 90	II	-	-	Endémica	Urubamba	Callicebus urubambensis	Alvarado, 2015.										
						Huapo ecuatorial, huapo												
454	Pithecia aequatorialis91	II	-	LC	Endémica		Pithecia monachus	Hershkovitz, 1987										
						negro												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
455	Pithecia hirsuta92	II	-	-	Nativa	Huapo negro		(Spix, 1823)										
456	Pithecia inusta93	II	-	-	Nativa	Huapo negro	Pithecia monachus monachus	(Spix, 1823)										
						Huapo negro, huapo de												
457	Pithecia irrorata	II	-	-	Nativa		Pithecia hirsuta	(Gray, 1842)										
						Gray												
458	Pithecia isabela 94	II	-	-	Endémica	Huapo negro, huapo de	Pithecia monachus monachus	Hershkovitz, 1987										
						Isabel												
								(É. Geoffroy Saint-										
459	Pithecia monachus	II	-	-	Nativa	Huapo negro, yana huapo	Simia monacha											
								Hilaire, 1812)										
460	Pithecia napensis 95	II	-	-	Nativa	Huapo negro	Pithecia monachus monachus	(Lönnberg, 1938)										
							P. monachus napensis											
461	Pithecia rylandsi96	II	-	-	Nativa	Huapo negro	Pithecia irrorata / P. monachus	Marsh, 2014										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							P. hirsuta.											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Chinchilla, chinchilla de												
462	Chinchilla chinchilla	I	DD	EN	Nativa		Chinchilla brevicaudata	(Lichtenstein, 1829)										
						cola corta												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Manatí amazónico, vaca												
463	Trichechus inunguis	I	VU	VU	Nativa			(Natterer, 1883)										
						marina, manatí												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Lacerta crocodilus											
							Jacare hirticollis											
						Babilla, caimán blanco,	Caiman sclerops											
464	Caiman crocodilus	II	-	LC	Nativa			(Linnaeus, 1758)										
						caimán común	Crocodilus caiman											
							Crocodilus sclerops											
							Jacaretinga crocodilus											
						Caimán negro, lagarto												
465	Melanosuchus niger	I	NT	LC	Nativa		Caiman niger	(Spix, 1825)										
						negro												
							Crocodilus palpebrosus											
						Caimán enano, dirin												
							Caiman palpebrosus											
466	Paleosuchus palpebrosus	II	EN	LC	Nativa	dirin, lagarto caimán de		(Cuvier, 1807)										
							Champsa gibbiceps											
						quebrada tirtir												
							Jacaretinga moschifer											
							Crocodilus trigonatus											
						Lagarto enano, caimán												
							Paleosuchus trigomatus											
467	Paleosuchus trigonatus	II	NT	LC	Nativa	frentiplano, caimán de		(Schneider, 1801)										
							Paleosuchus niloticus											
						quebrada tirtir												
							Caiman trigonatus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Cocodrilo de Tumbes,	Alligator lacordairei											
						cocodrilo americano,	Crocodylus  biscutatus	(Cuvier, 1807)										
468	Crocodylus acutus	I	CR	VU	Nativa													
						lagarto  aguja, lagarto	C. lewyanus / C. mexicanus											
						blanco	C. floridanus / C. pacificus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Iguana, pacaso, gallina												
469	Iguana iguana	II	-	-	Nativa		Iguana rhinolopha	Linnaeus, 1758										
						de palo, Iguana verde												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
470	Crocodilurus amazonicus	II	DD	LC	Nativa	Lagarto dragón	Crocodilurus lacertinus	(Spix, 1825)										
471	Dracaena guianensis	II	-	-	Nativa	Dracaena, camaleón rojo		Daudin, 1802										
						Iguana negra												
							Tupinambis nigropunctatus											
472	Tupinambis teguixin97		-	-	Nativa	Tegués de la selva		(Linnaeus, 1758)										
							Tupinambis nigropunctatus											
						Lagarto overo												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							B. c. isthmica/ B. c.											
							longicauda											
							B. c. melanogaster											
							B.  c. nebulosa											
							Boa orophias / Boa eques											
							Boa diviniloqua mexicana											
						Boa, boa constrictor	B  oa  diviniloqua / Boa ortonii											
473	Boa constrictor 98	II	EN 99	-	Nativa	boa mantona, boa de	Boa imperator/Boa	Linnaeus, 1758										
						costa, boa peruana,	mexicana											
						boa macanche	Constrictor auspex											
							Constrictor constrictor											
							Constrictor diviniloquus											
							Constrictor formosissimus											
							Constrictor orophias											
							Constrictor rexserpentum											
							Epicrates sabogae											
						Boa verde, boa												
474	Corallus batesii100	II	-	-	Nativa		Corallus batesi / C. caninus	(Gray, 1860)										
						esmeralda												
							maculatus											
							Corallus obtusirostris											
							Coluber bitis											
							Boa ambleocephala / B.											
						Boa arborícola	enydris											
475	Corallus hortulanus	II	-	LC	Nativa	amazónica, boa	B. merremi / B. modesta	(Linnaeus, 1758)										
						arborícola de jardín	B. obtusiceps / B. elegans											
							B. hortulana / Vipera bitis											
							Vipera madarensis											
							Xiphosoma dorsuale											
							X. hortulanum/ X. merremi											
							Xiphosoma ornatum											
							E. c. alvarezi  / E. c. assisi											
							E. c. barbouri / E. c. gaigei											
							E. c. hygrophilus / E. c.											
							polylepisE. c.											
							xerophilus / Boa cenchria B.											
476	Epicrates cenchria	II	-	-	Nativa	Boa arcoíris		(Linnaeus, 1758)										
							annulifer / B. aboma											
							B. ternatea / Cliftia fusca											
							Coluber tamachia											
							Epicratescupreus											
							Epicarsius cupreus											
							Eunectes scytale											
						Yacumama, anaconda,	Eunectes barbouri											
477	Eunectes murinus	II	-	-	Nativa			(Linnaeus, 1758)										
						sucury	Boa murina/ Boa gigas											
							Boa anacondo/ Boa aquatica											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Clelia plumbea											
						Aguaje machaco,	Pseudoboa clelia											
478	Clelia clelia	II	-	-	Nativa			(Daudin, 1803)										
						afaninga negra	Boiruna maculata											
							Clelia occipitolutea											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Ungaliophis paucisquamis											
	Tropidophis					Boa enana, boa enana												
479		II	-	-	Nativa		Ungalia brasiliensis	(Müller, 1901)										
	paucisquamis					brasilera												
							Ungalia paucisquamis											
	Tropidophis					Boa enana de												
480		II	-	-	Nativa		Ungalia taczanowskyi	(Steindachner, 1880)										
	taczanowskyi					Taczanowski												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
481	Caretta caretta101	I	EN	VU	Nativa	Tortuga boba, cayuma	Testudo caretta	(Linnaeus, 1758)										
							Chelonia agassizii											
							C. bicarinata / C. formosa											
							C. lata / C. lachrymata											
							C. maculosa / C. marmorata											
							C. tenuis / C. virgata											
						Tortuga verde, tortuga	Caretta cepedii											
482	Chelonia mydas	I	EN	EN	Nativa			(Linnaeus, 1758)										
						blanca	Caretta esculenta											
							Caretta thunbergii											
							Testudo cepediana											
							Testudo japonica / T.											
							mydasT. rugosa / T.											
							viridis											
							Caretta rostrata/ C.											
							squamosa											
							Chelone imbricata											
						Tortuga carey, tortuga												
483	Eretmochelys imbricata	I	CR	CR	Nativa		Chelonia pseudocaretta	(  L  i nn  ae  us  ,1  766)										
						de carey												
							C. pseudomydas / C. radiata											
							Eretmochelys squamata											
							Onychochelys kraussi											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Testudo imbricata											
							Chelonia olivácea/C.											
						Tortuga pico de loro,												
							dussumierii											
484	Lepidochelys olivacea	I	VU	VU	Nativa	tortuga olivácea,		(Eschscholtz, 1829)										
							Caretta remivaga											
						Tortuga golfina												
							Caretta caretta olivacea											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Sphargis angusta											
							Testudo coriacea											
							Dermatochelys porcata											
						Tortuga dorso de cuero	Sphargis mercurialis/ S.											
485	Dermochelys coriacea	I	EN	VU	Nativa	tortuga de mar gigante	coriacea	(Vandelli, 1761)										
						tortuga laud	Testudo arcuata/ T.											
							tuberculata											
							Chelonias lutaria											
							Testudo lyra											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Podocnemis tracaxa											
							Emys tracaxa											
						Tortuga cabezona												
							Emys dumeriliana											
	Peltocephalus					amazónica, cabezón,												
486		II	CR	VU	Nativa		Emys macrocephala	(Schweigger, 1812)										
	dumerilianus					guacamayo charapa,												
							Chelys lata											
						charapa												
							Podocnemis dumeriliana											
							Peltocephalus tracaxa											
							Emys amazonica											
						Charapa, tortuga												
487	Podocnemis expansa	II	EN	LC	Nativa		Emys expansa	(  S  c  h  weigger, 1812)										
						charapa												
							Emys arrau											
							Podocnemis expansa											
	Podocnemis					Cupiso, charapa, pitiu,												
488		II	VU	VU	Nativa		sextuberculata,	Cornalia, 1849										
	sextuberculata					tortuga charapa												
							Bartlettia pitipii											
489	Podocnemis unifilis	II	VU	VU	Nativa	Taricaya	Emys cayannensis	Troschel, 1848										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Jabuti, supay motelo,	Geochelone carbonaria											
	Chelonoidis carbonaria					karumbé, motelo de	Testudo boiei											
490		II	VU	-	Nativa			(Spix, 1824)										
						patas rojas, tortuga de	Testudo carbonaria											
						patas rojas												
							Geochelone denticulata											
						Tortuga motelo, motelo,												
							Testudo cagado / T.											
						tortuga de patas												
491	Chelonoidis denticulata	II	-	VU	Nativa		tessellataTestudo	(Linnaeus, 1766)										
						amarillas motelo de												
							tabulata /T.denticulata											
