N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
86	Parabuteo unicinctus	II	-	LC	Nativa		Falco unicinctus	(Temminck, 1824)										
						gavilán mixto												
							Leucopternis albicollis											
87	Pseudastur albicollis	II	-	LC	Nativa	Gavilán blanco		(Latham, 1790)										
							Falco albicollis											
						Gavilán de dorso	Leucopternis occidentalis											
88	Pseudastur occidentalis	II	EN	EN	Nativa			(Salvin, 1876)										
						gris	L. albicollis occidentalis											
						Elanio caracolero,												
89	Rostrhamus sociabilis	II	-	LC	Nativa	halcón caracolero,	Herpetotheres sociabilis	(Vieillot, 1817)										
						milano caracolero												
						Aguilucho												
							Buteo magnirostris											
90	Rupornis magnirostris	II	-	LC	Nativa	caminero		(Gmelin, 1788)										
							Falco magnirostris											
						gavilán teretaño												
91	Spizaetus isidori	II	VU	EN 23	Nativa	Águila negra y	Oroaetus isidori	(Des Murs, 1845)										
						castaña	Falco isidori											
						Águila blanca y	Spizastur melanoleucus											
92	Spizaetus melanoleucus	II	-	LC	Nativa			(Vieillot, 1816)										
						negra	Buteo melanoleucus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
93	Spizaetus ornatus	II	-	NT	Nativa	Águila penachuda	Falco ornatus	(Daudin, 1800)										
94	Spizaetus tyrannus	II	-	LC	Nativa	Águila negra	Falco tyrannus	(Wied, 1820)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
95	Pandion haliaetus	II	-	LC	Nativa	Águila pescadora	Falco haliaetus	(Linnaeus, 1758)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
96	Sarkidiornis melanotos	II	-	LC	Nativa	Pato crestudo	Anser melanotos	(Pennant, 1769)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
97	Adelomyia melanogenys	II	-	LC	Nativa	Colibrí jaspeado	Trochilus melanogenys	(Fraser, 1840)										
						Rayo-de-sol de dorso												
98	Aglaeactis aliciae	II	VU	EN	Endémica			Salvin, 1896										
						púrpura												
								(Bourcier & Mulsant,										
99	Aglaeactis castelnaudii	II	-	LC	Endémica	Rayo-de-sol acanelado	Trochilus castelnaudii											
								1848)										
100	Aglaeactis cupripennis	II	-	LC	Nativa	Rayo-de-sol brillante	Trochilus cupripennis	(Bourcier, 1843)										
							A. berlepschi / A. emmae											
							Cyanolesbia berlepschi											
101	Aglaiocercus kingi	II	-	LC	Nativa	Silfo de cola larga		(Lesson, 1832)										
							C. emmae / Trochilus											
							kingi											
102	Amazilia amazilia	II	-	LC	Nativa	Colibrí de vientre rufo	Ornismya amazilia	(Lesson, 1828)										
						Colibrí de vientre	Trochilus chionogaster											
103	Amazilia chionogaster	II	-	LC	Nativa			(Tschudi, 1846)										
						blanco	Leucippus chionogaster											
